Scan Mz Intensity
3615 56.5944 0.9480401093892434
3632 50.0808 0.5326268061511568
3632 55.0183 0.13657097593619405
3717 50.4299 0.1810912839372031
3717 51.5808 0.16716118517280287
3737 55.0548 0.5509641873278237
3737 57.0339 0.23541197094916103
3850 54.2429 0.11446074480090279
3875 50.6473 0.42044700154901526
3875 51.416 0.15490152688647932
3890 55.0547 0.10387636179376741
3890 57.0704 0.13934633899163923
3920 51.4334 0.20111450957388863
3920 52.8919 0.13826622533204844
3924 55.0547 0.17110266159695817
3966 51.3214 0.13709548860194484
3966 51.8767 0.4782400765184122
4008 55.0548 0.1047065598659756
4008 57.0341 0.38741427150410973
4008 57.0703 0.1047065598659756
4048 56.2128 0.5051355447044957
4048 57.034 0.16837851490149858
4060 55.0181 0.11096931698385397
4060 55.0547 0.238584031515286
4066 55.0547 0.16956715751896476
4079 50.6624 0.24946365314573665
4133 54.5319 0.3972409808240945
4133 55.0547 0.1625076739734932
4171 51.9231 0.19847833278200464
4171 52.9268 0.1257029440952696
4208 53.1704 0.24376523532720795
4215 55.0547 0.13584319813700757
4230 50.471 0.8381995473722444
4260 60.0814 0.6989247311827957
4263 57.0577 0.7767744441207884
4278 50.5502 0.6144991831657199
4278 51.4321 0.17985341946313754
4281 52.9682 0.21393195205579815
4318 60.0812 0.6671005532053368
4643 53.039 0.6797871105731766
4859 51.7666 0.10866120342282791
4859 55.0547 0.10866120342282791
4875 55.0183 0.4641817929887765
4958 55.0548 0.5086333824119931
4958 57.0703 0.12448132780082988
5092 55.0184 0.12705134992059292
5092 55.0547 0.25410269984118583
5154 55.0547 0.11393650629240251
5154 55.8974 0.12429437050080273
5154 57.0339 0.24340980889740535
5504 50.141 0.16052070277283023
5519 55.0184 0.17233182790587118
5754 55.0185 0.5257332595462092
5930 55.0546 0.1739405439595193
5930 57.0339 0.14231499051233396
6152 55.0183 0.1163956736623451
6433 54.2697 0.7964710207082465
6623 55.0183 0.1163956736623451
6627 51.1938 0.1892744479495268
6668 53.039 0.13357376611233554
7061 50.3689 0.10240805219884717
7068 51.5765 0.5295383087870263
7211 53.0572 0.13986363295786608
7374 51.4465 0.39307774771555465
7374 53.4513 0.18888151513604573
7643 55.0183 0.6637689227672741
7647 53.7268 0.30447579417436316
7647 57.0339 0.24104333705470415
7647 58.0653 0.20298386278290875
7704 52.0421 0.147526100771675
7704 55.0183 0.10894235133908307
7749 56.0498 0.530316422131872
7767 51.925 0.12379885633437482
7883 51.0105 0.17228327547051606
8013 55.0548 0.41184465219719124
8013 57.0675 0.2676990239281743
8272 55.0548 0.5141628493970272
8272 55.5234 0.20099093203701973
8306 60.056 0.9495252373813093
8307 53.3904 0.21424745581146223
8307 55.0547 0.2678093197643278
8313 55.0185 0.1223288943945494
8313 55.0546 0.1424589656240322
8313 56.0049 0.20130071229482813
8315 60.0812 0.5753217259651779
8315 63.2936 0.23467070401211204
8625 50.5323 0.5041939771737636
8625 51.2723 0.15584177476279965
8757 52.2285 0.27820578668036294
8909 55.0184 0.2018604457578091
8909 55.0547 0.24972426279316587
9012 54.2091 0.6332692525161144
9136 55.0183 0.2952364730596718
9215 55.0184 0.11088365745479359
9540 55.0182 0.19554991808043973
9766 58.0656 0.6035731530661517
9766 60.0811 0.16095284081764044
10114 55.0547 0.2245749117741418
10114 57.0339 0.1329116824785737
10140 55.0182 0.4994074826477061
10149 55.1156 0.7479431563201197
10174 50.9326 0.2039229076561196
10181 53.0392 0.7439656122561447
10195 54.0822 0.2413793103448276
10207 50.0808 0.29113995379327184
10207 54.0343 0.48836379345968184
10211 50.1783 0.4866124980196003
10211 56.0498 0.2715976733132653
10213 55.0547 0.7976517133558803
10228 51.3954 0.755618388339102
10251 53.0389 0.39662010691498534
10251 53.6456 0.11496234983043054
10259 53.2151 0.1912199214147807
10259 55.0549 0.10177834526915747
10259 56.05 0.37010307370602713
10262 58.0656 0.16656795972756885
10262 59.0734 0.7773171453953213
10266 58.0655 0.13025737602008788
10266 59.0735 0.6434400502197113
10269 53.0391 0.16472293602161164
10269 55.0547 0.10542267905383146
10269 57.0703 0.36239045924754565
10284 55.0183 0.4888222642247279
10284 55.0547 0.20856416606921724
10289 58.0655 0.1654533421575116
10289 59.0733 0.8036305190507705
10305 50.36 0.1363742396238942
10310 51.9129 0.507648119698083
10310 55.0549 0.10286554004408523
10344 52.9403 0.17807420837920093
10344 56.05 0.42090267435083856
10355 51.0031 0.4975867044832562
10355 53.246 0.1044932079414838
10355 55.0548 0.17415534656913967
10359 53.4993 0.5736981465136805
10458 55.0548 0.7919017860779141
10511 57.0338 0.8176862507571169
10544 55.0546 0.18503002373970115
10545 55.0547 0.29978586723768735
10545 56.6317 0.11563169164882227
10565 60.0812 0.727994705493051
10565 81.0699 0.2183984116479153
10571 55.0548 0.45944412932501416
10571 57.0703 0.1644923425978446
10579 59.4355 0.5145434183843337
10579 60.0806 0.36320711885952967
10597 55.0547 0.584070796460177
10597 57.0704 0.2831858407079646
10606 54.9803 0.22630457933972312
10612 55.0549 0.43898156277436345
10612 57.0704 0.2853380158033363
10665 51.3555 0.38832940689155254
10681 58.0654 0.5123247945867568
10681 59.0735 0.30932817786370226
10682 55.0547 0.3945571349081896
10682 57.0339 0.15681116900197278
10759 55.0547 0.13987792472024416
10759 55.3224 0.3560528992878942
10780 50.2614 0.4694113120430935
10781 51.8954 0.1197213757074445
10781 53.0391 0.4680017414018285
10781 55.0549 0.15237265999129299
10793 55.0547 0.500984075863303
10793 57.0339 0.2147074610842727
10843 53.3218 0.17046335037966837
